id,date,amount,sector,IBAN,pod_sector
1,1/30/2024,"€126,66",Housing and Rent,FR40 7155 2511 81HY 7PFH GHY4 E54,Gas
2,4/14/2024,"€337,33",Groceries,AE51 7900 6344 6900 2324 516,Household Items
3,3/26/2024,"€649,27",Shopping,IL55 3047 8435 2793 8738 298,Sports Equipment
4,2/4/2024,"€489,06",Groceries,FR30 6074 2776 904I BAU3 7PLX Z76,Bakery
5,8/28/2024,"€203,73",Transportation,RS32 1628 7439 4207 0643 28,Car Loan
6,6/7/2024,"€430,74",Entertainment,LB14 0926 NOWR UBND DXKA ENNI RUXV,Movies
7,8/23/2024,"€928,54",Family,GI89 FYLW UQEL ZAH9 JPGO XLN,Family Events
8,10/11/2024,"€379,75",Groceries,MT46 XKAF 0348 17WW RMFI 4MOB TLBB SPE,Seafood
9,2/11/2024,"€872,75",Health and Wellness,PT81 7636 6332 8406 4688 8638 2,Doctor Visits
10,12/5/2023,"€799,60",Dining and Restaurants,GB94 UDVA 6591 0049 4483 34,Cafes
11,9/23/2024,"€344,32",Health and Wellness,PK82 OQPL SZ7K 46WD AMTX HBBV,Massage
12,8/9/2024,"€166,15",Insurance,FR78 3591 5635 28SK 4JHI N5EX Q17,Auto Insurance
13,2/4/2024,"€742,43",Insurance,LB38 8124 VQHI MOR3 6OSR N1EY ESUX,Life Insurance
14,1/1/2024,"€703,11",Groceries,IS43 7163 5001 1923 6536 3301 98,Fruits
15,7/11/2024,"€40,01",Dining and Restaurants,FR49 0880 2292 73J2 X1CX XOQ3 G48,Pubs
16,12/13/2023,"€249,96",Entertainment,FR02 1564 0815 87LT 1M3U QQOH G91,Concerts
17,9/6/2024,"€832,99",Insurance,FR63 0801 0868 51TY M224 UAAI C18,Critical Illness Insurance
18,1/27/2024,"€490,32",Entertainment,FR88 0385 4226 43MG 9V4P ODGO B80,Bowling
19,6/7/2024,"€623,53",Family,SI15 1525 4733 8749 369,Tutoring
20,10/16/2024,"€749,97",Shopping,LT04 0036 8061 1608 8160,Outdoor Gear
21,8/13/2024,"€629,44",Entertainment,BH15 YNKY R3QD N2KM RWHC CT,Concerts
22,6/20/2024,"€132,94",Insurance,CR45 9423 8078 5825 0790 5,Business Insurance
23,4/27/2024,"€102,07",Shopping,MC15 9811 2477 83PF Y7IU SC1I Q10,Clothing
24,3/31/2024,"€479,51",Shopping,RS37 8075 0002 7317 0164 73,Books
25,12/15/2023,"€139,08",Travel,MC02 1542 9713 72NE IG7T MI2D 401,Travel Insurance
26,10/30/2024,"€163,35",Groceries,IE06 QNLJ 1912 8394 5779 66,Condiments
27,3/20/2024,"€621,91",Dining and Restaurants,SM34 Y661 7872 904B AZCJ DLLK 6C2,Bakeries
28,10/15/2024,"€352,75",Insurance,LT67 2487 6903 5300 1500,Home Insurance
29,7/26/2024,"€702,55",Health and Wellness,FR84 7605 4912 81YC A7BL IM8S L26,Physical Therapy
30,9/30/2024,"€787,13",Family,GT78 UZPL 0TAY GFNL N5KR CYXE JSRF,Groceries
31,7/13/2024,"€522,47",Entertainment,HU30 8111 4391 6275 3866 2304 8646,Escape Rooms
32,3/14/2024,"€241,82",Groceries,PT08 8138 2091 0272 8954 8130 5,Bakery
33,9/4/2024,"€888,51",Transportation,PT30 6395 1435 2752 2998 7452 4,Train
34,7/9/2024,"€192,36",Entertainment,BA76 7455 5514 5565 5485,Karaoke
35,6/24/2024,"€884,86",Groceries,FR67 0766 5062 11DO H0NY RVDH G98,Personal Care
36,1/11/2024,"€716,56",Transportation,GL72 6772 1815 9605 23,Rideshare
37,2/16/2024,"€67,32",Health and Wellness,ME58 8978 8328 6142 8139 10,Massage
